case_id,court,case_type,filing_date,filing_year,disposal_date,duration_months,event,hearings,adjournments,current_age_months
NG-00001,Delhi District Court,Civil Dispute,2024-06-01,2024,,24.97,0,7,4,24.97
NG-00002,Lucknow District Court,Motor Accident,2020-08-01,2020,2022-08-26 15:57:08.328489402,24.82,1,7,2,24.82
NG-00003,Lucknow District Court,Civil Dispute,2020-10-01,2020,2025-01-15 02:24:13.054661904,51.48,1,7,3,51.48
NG-00004,Delhi District Court,Cheque Bounce,2024-01-01,2024,,29.96,0,8,4,29.96
NG-00005,Jaipur District Court,Civil Dispute,2018-12-01,2018,2022-05-07 17:56:51.286057768,41.19,1,5,4,41.19
NG-00006,Delhi District Court,Cheque Bounce,2018-02-01,2018,2019-06-26 04:29:56.419178844,16.76,1,7,2,16.76
NG-00007,Noida District Court,Motor Accident,2025-06-01,2025,,12.98,0,8,1,12.98
NG-00008,Jaipur District Court,Motor Accident,2018-10-01,2018,2023-01-13 13:56:19.416741417,51.43,1,7,2,51.43
NG-00009,Lucknow District Court,Motor Accident,2019-12-01,2019,2022-12-07 21:10:43.172797630,36.23,1,6,4,36.23
NG-00010,Jaipur District Court,Property,2024-06-01,2024,,24.97,0,5,4,24.97
NG-00011,Lucknow District Court,Cheque Bounce,2019-02-01,2019,2021-10-02 17:42:20.725762731,32.02,1,9,0,32.02
NG-00012,Jaipur District Court,Motor Accident,2019-11-01,2019,2024-07-29 16:11:57.967069594,56.92,1,7,2,56.92
NG-00013,Jaipur District Court,Property,2019-09-01,2019,2023-03-17 17:10:59.467500200,42.5,1,6,1,42.5
NG-00014,Lucknow District Court,Property,2025-09-01,2025,,9.95,0,6,3,9.95
NG-00015,Jaipur District Court,Motor Accident,2020-06-01,2020,2024-04-02 02:15:26.584862826,46.03,1,9,1,46.03
NG-00016,Delhi District Court,Family,2021-03-01,2021,2022-11-16 05:28:20.312235477,20.54,1,10,3,20.54
NG-00017,Noida District Court,Motor Accident,2019-04-01,2019,2020-11-06 19:25:24.351199207,19.24,1,5,0,19.24
NG-00018,Noida District Court,Cheque Bounce,2021-08-01,2021,2026-01-22 11:20:40.588698324,53.73,1,7,1,53.73
NG-00019,Noida District Court,Civil Dispute,2018-12-01,2018,2021-10-10 16:12:52.700340847,34.32,1,4,7,34.32
NG-00020,Jaipur District Court,Motor Accident,2024-06-01,2024,,24.97,0,6,2,24.97
NG-00021,Delhi District Court,Motor Accident,2020-09-01,2020,2024-12-20 04:07:20.552168916,51.62,1,10,2,51.62
NG-00022,Lucknow District Court,Family,2022-02-01,2022,2025-02-12 12:06:18.719751432,36.38,1,10,2,36.38
NG-00023,Jaipur District Court,Family,2022-12-01,2022,2025-06-01 13:12:25.961284382,30.01,1,5,4,30.01
NG-00024,Lucknow District Court,Cheque Bounce,2024-05-01,2024,,25.99,0,6,4,25.99
NG-00025,Lucknow District Court,Cheque Bounce,2025-04-01,2025,,14.98,0,4,3,14.98
NG-00026,Lucknow District Court,Motor Accident,2023-10-01,2023,2025-07-12 22:37:08.756108319,21.38,1,9,1,21.38
NG-00027,Lucknow District Court,Cheque Bounce,2024-01-01,2024,2024-07-08 21:41:26.660342927,6.24,1,2,0,6.24
NG-00028,Lucknow District Court,Cheque Bounce,2020-11-01,2020,2023-02-25 19:34:09.849092168,27.82,1,6,1,27.82
NG-00029,Jaipur District Court,Motor Accident,2023-06-01,2023,2025-06-02 15:22:44.252736274,24.07,1,6,1,24.07
NG-00030,Delhi District Court,Cheque Bounce,2020-02-01,2020,2022-11-15 17:55:22.358159371,33.47,1,9,3,33.47
